activeWindow,activeProgram,activeTab,startTime,endTime,timeSpent,mouseClicks,keyPresses,task,goal
Visual Studio Code,PythonProjects - farhad2,● active_window_log.csv,2024-10-11 23:53:15,2024-10-11 23:53:32,17,5,42,Create a app
Visual Studio Code,PythonProjects - farhad2,active_window_log.csv,2024-10-11 23:53:32,2024-10-11 23:53:35,3,1,0,Create a app
Visual Studio Code,PythonProjects - farhad2,tasks.csv,2024-10-11 23:53:35,2024-10-11 23:53:36,1,1,0,Create a app
Visual Studio Code,PythonProjects - farhad2,activity.py,2024-10-11 23:53:36,2024-10-11 23:53:46,10,2,2,Create a app
Visual Studio Code,PythonProjects - farhad2,● activity.py,2024-10-11 23:53:46,2024-10-11 23:53:49,3,0,20,Create a app
Visual Studio Code,PythonProjects - farhad2,activity.py,2024-10-11 23:53:49,2024-10-11 23:53:57,8,1,0,Create a app
Visual Studio Code,PythonProjects - farhad2,newWebApp.py,2024-10-11 23:53:57,2024-10-11 23:53:59,2,2,0,Create a app
Visual Studio Code,PythonProjects - farhad2,desktopApp.py,2024-10-11 23:53:59,2024-10-11 23:54:02,3,1,2,Create a app
Visual Studio Code,PythonProjects - farhad2,● desktopApp.py,2024-10-11 23:54:02,2024-10-11 23:54:04,2,0,38,Create a app
Visual Studio Code,PythonProjects - farhad2,desktopApp.py,2024-10-11 23:54:04,2024-10-11 23:54:14,10,1,0,Create a app
Google Chrome,,Python Active Window Tracker,2024-10-11 23:54:14,2024-10-11 23:54:15,1,1,0,Create a app
Visual Studio Code,PythonProjects - farhad2,desktopApp.py,2024-10-11 23:54:15,2024-10-11 23:54:21,6,2,6,Create a app
Visual Studio Code,PythonProjects - farhad2,html2pdf.py,2024-10-11 23:54:21,2024-10-11 23:54:22,1,0,2,Create a app
Visual Studio Code,PythonProjects - farhad2,● html2pdf.py,2024-10-11 23:54:22,2024-10-11 23:54:23,1,0,1,Create a app
Visual Studio Code,PythonProjects - farhad2,html2pdf.py,2024-10-11 23:54:23,2024-10-11 23:54:24,1,1,0,Create a app
Google Chrome,,Python Active Window Tracker,2024-10-11 23:54:24,2024-10-11 23:54:25,1,2,1,Create a app
Visual Studio Code,PythonProjects - farhad2,desktopApp.py,2024-10-11 23:54:25,2024-10-11 23:54:26,1,0,2,Create a app
Visual Studio Code,PythonProjects - farhad2,● desktopApp.py,2024-10-11 23:54:26,2024-10-11 23:54:28,2,0,5,Create a app
Visual Studio Code,PythonProjects - farhad2,desktopApp.py,2024-10-11 23:54:28,2024-10-11 23:54:29,1,1,0,Create a app
Task Manager,Task Manager,Task Manager,2024-10-11 23:54:37,2024-10-11 23:54:42,5,2,0,
Google Chrome,,Python Active Window Tracker,2024-10-11 23:54:42,2024-10-11 23:54:45,3,1,0,
Task Manager,Task Manager,Task Manager,2024-10-11 23:54:45,2024-10-11 23:55:05,20,6,14,My new window
Google Chrome,,Python Active Window Tracker,2024-10-11 23:55:05,2024-10-11 23:55:06,1,1,0,My new window
Visual Studio Code,PythonProjects - farhad2,desktopApp.py,2024-10-11 23:55:06,2024-10-11 23:55:09,3,1,0,My new window
Google Chrome,,Window Activity Dashboard,2024-10-11 23:55:09,2024-10-11 23:55:19,10,7,0,My new window
Google Chrome,,Python Active Window Tracker,2024-10-11 23:55:19,2024-10-11 23:55:21,2,1,0,My new window
Visual Studio Code,PythonProjects - farhad2,desktopApp.py,2024-10-11 23:55:21,2024-10-11 23:55:22,1,0,0,My new window
Visual Studio Code,PythonProjects - farhad2,active_window_log.csv,2024-10-11 23:55:22,2024-10-11 23:55:29,7,1,0,My new window
Task Manager,Task Manager,Task Manager,2024-10-11 23:55:29,2024-10-11 23:55:41,12,4,0,My new window
Google Chrome,,Python Active Window Tracker,2024-10-11 23:55:41,2024-10-11 23:56:46,65,4,159,My new window
Task Manager,Task Manager,Task Manager,2024-10-11 23:56:46,2024-10-11 23:57:10,24,10,0,Create a app
Google Chrome,,Python Active Window Tracker,2024-10-11 23:57:10,2024-10-11 23:57:13,3,2,0,Create a app
Task Manager,Task Manager,Task Manager,2024-10-11 23:57:13,2024-10-11 23:57:17,4,3,0,Create a app
Visual Studio Code,PythonProjects - farhad2,tasks.csv,2024-10-11 23:57:17,2024-10-11 23:57:21,4,1,0,Create a app
Google Chrome,,Python Active Window Tracker,2024-10-11 23:57:21,2024-10-11 23:57:51,30,2,9,Create a app
Visual Studio Code,PythonProjects - farhad2,active_window_log.csv,2024-10-11 23:57:51,2024-10-11 23:58:09,18,1,0,Create a app
Task Manager,Task Manager,Task Manager,2024-10-11 23:58:09,2024-10-11 23:58:56,47,3,0,Create a app
Google Chrome,,Python Active Window Tracker,2024-10-11 23:58:56,2024-10-11 23:58:57,1,1,0,Create a app
Visual Studio Code,PythonProjects - farhad2,desktopApp.py,2024-10-11 23:58:57,2024-10-11 23:58:59,2,1,4,Create a app
